player_name,team,game_id,game_date,game_time,home,away,line_col,line_value,prop,source,batting_stats_gcar,batting_stats_pa,batting_stats_ab,batting_stats_r,batting_stats_h,batting_stats_2b,batting_stats_3b,batting_stats_hr,batting_stats_rbi,batting_stats_bb,batting_stats_ibb,batting_stats_so,batting_stats_hbp,batting_stats_sh,batting_stats_sf,batting_stats_roe,batting_stats_gdp,batting_stats_sb,batting_stats_cs,batting_stats_ba,batting_stats_obp,batting_stats_slg,batting_stats_ops,batting_stats_bop,batting_stats_ali,batting_stats_wpa,batting_stats_acli,batting_stats_cwpa,batting_stats_re24,batting_stats_position,home_team,away_team,home_stats.batting_stats.pa,home_stats.batting_stats.ab,home_stats.batting_stats.r,home_stats.batting_stats.h,home_stats.batting_stats.2b,home_stats.batting_stats.3b,home_stats.batting_stats.hr,home_stats.batting_stats.rbi,home_stats.batting_stats.bb,home_stats.batting_stats.ibb,home_stats.batting_stats.so,home_stats.batting_stats.hbp,home_stats.batting_stats.sh,home_stats.batting_stats.sf,home_stats.batting_stats.roe,home_stats.batting_stats.gidp,home_stats.batting_stats.sb,home_stats.batting_stats.cs,home_stats.batting_stats.avg,home_stats.batting_stats.obp,home_stats.batting_stats.slug,home_stats.batting_stats.ops,home_stats.batting_stats.lob,home_stats.batting_stats.bat_num,home_stats.batting_stats.opp_thr,home_stats.batting_stats.opp_st,home_stats.batting_stats.opp_st_sc,home_stats.pitching_stats.ip,home_stats.pitching_stats.h,home_stats.pitching_stats.r,home_stats.pitching_stats.er,home_stats.pitching_stats.uer,home_stats.pitching_stats.bb,home_stats.pitching_stats.so,home_stats.pitching_stats.hr,home_stats.pitching_stats.hbp,home_stats.pitching_stats.era,home_stats.pitching_stats.bf,home_stats.pitching_stats.p,home_stats.pitching_stats.s,home_stats.pitching_stats.ir,home_stats.pitching_stats.is,home_stats.pitching_stats.sb,home_stats.pitching_stats.cs,home_stats.pitching_stats.ab,home_stats.pitching_stats.2b,home_stats.pitching_stats.3b,home_stats.pitching_stats.ibb,home_stats.pitching_stats.sh,home_stats.pitching_stats.sf,home_stats.pitching_stats.roe,home_stats.pitching_stats.gidp,home_stats.pitching_stats.pitch_num,home_stats.pitching_stats.ump,home_stats.pitching_stats.pitchers,away_stats.batting_stats.pa,away_stats.batting_stats.ab,away_stats.batting_stats.r,away_stats.batting_stats.h,away_stats.batting_stats.2b,away_stats.batting_stats.3b,away_stats.batting_stats.hr,away_stats.batting_stats.rbi,away_stats.batting_stats.bb,away_stats.batting_stats.ibb,away_stats.batting_stats.so,away_stats.batting_stats.hbp,away_stats.batting_stats.sh,away_stats.batting_stats.sf,away_stats.batting_stats.roe,away_stats.batting_stats.gidp,away_stats.batting_stats.sb,away_stats.batting_stats.cs,away_stats.batting_stats.avg,away_stats.batting_stats.obp,away_stats.batting_stats.slug,away_stats.batting_stats.ops,away_stats.batting_stats.lob,away_stats.batting_stats.bat_num,away_stats.batting_stats.opp_thr,away_stats.batting_stats.opp_st,away_stats.batting_stats.opp_st_sc,away_stats.pitching_stats.ip,away_stats.pitching_stats.h,away_stats.pitching_stats.r,away_stats.pitching_stats.er,away_stats.pitching_stats.uer,away_stats.pitching_stats.bb,away_stats.pitching_stats.so,away_stats.pitching_stats.hr,away_stats.pitching_stats.hbp,away_stats.pitching_stats.era,away_stats.pitching_stats.bf,away_stats.pitching_stats.p,away_stats.pitching_stats.s,away_stats.pitching_stats.ir,away_stats.pitching_stats.is,away_stats.pitching_stats.sb,away_stats.pitching_stats.cs,away_stats.pitching_stats.ab,away_stats.pitching_stats.2b,away_stats.pitching_stats.3b,away_stats.pitching_stats.ibb,away_stats.pitching_stats.sh,away_stats.pitching_stats.sf,away_stats.pitching_stats.roe,away_stats.pitching_stats.gidp,away_stats.pitching_stats.pitch_num,away_stats.pitching_stats.ump,away_stats.pitching_stats.pitchers,book,line_value_book,open_om,close_om,delta_om,open_um,close_um,delta_um,total_move_om,total_move_um,pct_change_om,pct_change_um,max_om,min_om,max_um,min_um,std_om,std_um,ups_om,downs_om,ups_um,downs_um,avg_update_sec,twavg_om,twavg_um,n_updates,prop_norm,actual,outcome,player_type
adolis garcía,mlb_tex,401695438,2025-05-06,18:45,mlb_bos,mlb_tex,dabble_dfs_hitsrunsrbis_value,1.5,hitsrunsrbis,dabble,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_bos,mlb_tex,33,32,1,6,2,0,0,1,1,0,12,0,0,0,0,0,0,0,0.253,0.329,0.416,0.745,5,9,R,N.Eovaldi,64,9,16,6,6,0,2,9,0,0,4.04,43,180,115,2,0,0,0,40,2,0,0,0,1,0,0,3,John Bacon,"L.Giolito (5-18-L), B.Bernardino (2), S.Newcomb (8)",43,40,6,16,2,0,0,5,2,0,9,0,0,1,0,0,0,0,0.234,0.289,0.362,0.651,10,10,R,L.Giolito,18,9,6,1,1,0,1,12,0,0,3.37,33,124,89,0,0,0,0,32,2,0,0,0,0,0,0,4,John Bacon,"N.Eovaldi (5-64-W), S.Armstrong (4), R.Garcia (2), C.Martin (2)",dabble,1.5,1.97,1.95,-0.02,2.04,2.07,0.0299999999999998,0.02,0.0299999999999998,-1.015228426395942,1.4705882352941124,1.97,1.95,2.07,2.04,,,0.0,1.0,1.0,0.0,70565.0,1.9622649572649573,2.051602564102564,2.0,hitsrunsrbis,4.0,over,hitter
adolis garcía,mlb_tex,401695453,2025-05-07,18:45,mlb_bos,mlb_tex,dabble_dfs_hitsrunsrbis_value,1.5,hitsrunsrbis,dabble,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,mlb_bos,mlb_tex,35,34,6,11,2,0,3,6,1,0,1,0,0,0,1,1,0,0,0.255,0.329,0.422,0.751,5,10,R,T.Mahle,50,9,8,4,3,0,3,5,2,1,4.01,40,144,91,1,0,0,0,35,2,0,0,0,1,1,0,5,CB Bucknor,"T.Houck (5-42), J.Wilson (3), B.Bernardino (0-W), G.Weissert (3-H), A.Chapman (6-Sv)",40,35,4,8,2,0,2,4,3,0,5,1,0,1,1,0,0,0,0.234,0.289,0.365,0.654,9,10,R,T.Houck,42,8,11,6,6,0,1,1,3,0,3.46,35,138,92,3,2,0,0,34,2,0,0,0,0,1,1,5,CB Bucknor,"T.Mahle (5-50), H.Milner (2-BSv), J.Webb (2-L), R.Garcia (0), C.Boushley (4)",dabble,1.5,1.98,2.2,0.2200000000000002,2.04,-1.0,-3.04,1.1599999999999984,3.1800000000000006,11.111111111111116,-149.0196078431373,2.57,1.96,2.06,-1.0,0.1523465578351231,0.6845559451975151,8.0,10.0,5.0,4.0,11829.6,2.484900781192962,-0.7451043294152003,21.0,hitsrunsrbis,4.0,over,hitter
adolis garcía,mlb_tex,401695491,2025-05-10,18:10,mlb_det,mlb_tex,dabble_dfs_hitsrunsrbis_value,1.5,hitsrunsrbis,dabble,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_det,mlb_tex,34,31,3,7,0,1,2,3,3,0,13,0,0,0,0,3,0,0,0.258,0.333,0.42,0.753,4,11,R,J.deGrom,58,9,10,10,10,0,6,9,5,0,3.08,43,180,106,3,1,1,0,36,1,0,0,0,1,0,0,5,Andy Fletcher,"J.Flaherty (6-33-L), S.Guenther (1), C.Lee (1), T.Holton (7), J.Brebbia (21)",43,36,10,10,1,0,5,10,6,0,9,0,0,1,0,0,1,0,0.23,0.289,0.364,0.653,6,11,R,J.Flaherty,33,9,7,3,3,0,3,13,2,0,3.47,34,148,98,2,0,0,0,31,0,1,0,0,0,0,3,4,Andy Fletcher,"J.deGrom (5-58-W), H.Milner (2), S.Armstrong (3), L.Jackson (5)",dabble,1.5,2.2,2.2,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,-1.0,-1.0,,,0.0,0.0,0.0,0.0,,2.2,-1.0,1.0,hitsrunsrbis,2.0,over,hitter
adolis garcía,mlb_tex,401695438,2025-05-06,18:45,mlb_bos,mlb_tex,dabble_dfs_homeruns_value,0.5,homeruns,dabble,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_bos,mlb_tex,33,32,1,6,2,0,0,1,1,0,12,0,0,0,0,0,0,0,0.253,0.329,0.416,0.745,5,9,R,N.Eovaldi,64,9,16,6,6,0,2,9,0,0,4.04,43,180,115,2,0,0,0,40,2,0,0,0,1,0,0,3,John Bacon,"L.Giolito (5-18-L), B.Bernardino (2), S.Newcomb (8)",43,40,6,16,2,0,0,5,2,0,9,0,0,1,0,0,0,0,0.234,0.289,0.362,0.651,10,10,R,L.Giolito,18,9,6,1,1,0,1,12,0,0,3.37,33,124,89,0,0,0,0,32,2,0,0,0,0,0,0,4,John Bacon,"N.Eovaldi (5-64-W), S.Armstrong (4), R.Garcia (2), C.Martin (2)",dabble,0.5,5.3,5.3,0.0,-1.0,-1.0,0.0,0.4800000000000004,0.0,0.0,0.0,5.3,5.06,-1.0,-1.0,0.3394112549695431,0.0,1.0,1.0,0.0,0.0,33064.5,5.164210259443927,-1.0,3.0,homeruns,0.0,under,hitter
adolis garcía,mlb_tex,401695453,2025-05-07,18:45,mlb_bos,mlb_tex,dabble_dfs_homeruns_value,0.5,homeruns,dabble,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,mlb_bos,mlb_tex,35,34,6,11,2,0,3,6,1,0,1,0,0,0,1,1,0,0,0.255,0.329,0.422,0.751,5,10,R,T.Mahle,50,9,8,4,3,0,3,5,2,1,4.01,40,144,91,1,0,0,0,35,2,0,0,0,1,1,0,5,CB Bucknor,"T.Houck (5-42), J.Wilson (3), B.Bernardino (0-W), G.Weissert (3-H), A.Chapman (6-Sv)",40,35,4,8,2,0,2,4,3,0,5,1,0,1,1,0,0,0,0.234,0.289,0.365,0.654,9,10,R,T.Houck,42,8,11,6,6,0,1,1,3,0,3.46,35,138,92,3,2,0,0,34,2,0,0,0,0,1,1,5,CB Bucknor,"T.Mahle (5-50), H.Milner (2-BSv), J.Webb (2-L), R.Garcia (0), C.Boushley (4)",dabble,0.5,6.02,7.04,1.0200000000000005,-1.0,-1.0,0.0,11.380000000000004,0.0,16.9435215946844,0.0,9.11,6.0,-1.0,-1.0,0.4243081472776052,0.0,28.0,37.0,0.0,0.0,4015.861538461538,7.648094574371314,-1.0,66.0,homeruns,1.0,over,hitter
adolis garcía,mlb_tex,401695491,2025-05-10,18:10,mlb_det,mlb_tex,dabble_dfs_homeruns_value,0.5,homeruns,dabble,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_det,mlb_tex,34,31,3,7,0,1,2,3,3,0,13,0,0,0,0,3,0,0,0.258,0.333,0.42,0.753,4,11,R,J.deGrom,58,9,10,10,10,0,6,9,5,0,3.08,43,180,106,3,1,1,0,36,1,0,0,0,1,0,0,5,Andy Fletcher,"J.Flaherty (6-33-L), S.Guenther (1), C.Lee (1), T.Holton (7), J.Brebbia (21)",43,36,10,10,1,0,5,10,6,0,9,0,0,1,0,0,1,0,0.23,0.289,0.364,0.653,6,11,R,J.Flaherty,33,9,7,3,3,0,3,13,2,0,3.47,34,148,98,2,0,0,0,31,0,1,0,0,0,0,3,4,Andy Fletcher,"J.deGrom (5-58-W), H.Milner (2), S.Armstrong (3), L.Jackson (5)",dabble,0.5,7.04,4.76,-2.28,-1.0,-1.0,0.0,2.28,0.0,-32.38636363636363,0.0,7.04,4.76,-1.0,-1.0,1.3293607486307093,0.0,0.0,2.0,0.0,0.0,88634.0,4.948381742738589,-1.0,3.0,homeruns,0.0,under,hitter
adolis garcía,mlb_tex,401695438,2025-05-06,18:45,mlb_bos,mlb_tex,dabble_dfs_runs_value,0.5,runs,dabble,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_bos,mlb_tex,33,32,1,6,2,0,0,1,1,0,12,0,0,0,0,0,0,0,0.253,0.329,0.416,0.745,5,9,R,N.Eovaldi,64,9,16,6,6,0,2,9,0,0,4.04,43,180,115,2,0,0,0,40,2,0,0,0,1,0,0,3,John Bacon,"L.Giolito (5-18-L), B.Bernardino (2), S.Newcomb (8)",43,40,6,16,2,0,0,5,2,0,9,0,0,1,0,0,0,0,0.234,0.289,0.362,0.651,10,10,R,L.Giolito,18,9,6,1,1,0,1,12,0,0,3.37,33,124,89,0,0,0,0,32,2,0,0,0,0,0,0,4,John Bacon,"N.Eovaldi (5-64-W), S.Armstrong (4), R.Garcia (2), C.Martin (2)",dabble,0.5,2.25,2.29,0.04,-1.0,-1.0,0.0,0.0599999999999996,0.0,1.7777777777777892,0.0,2.29,2.24,-1.0,-1.0,0.0424264068711925,0.0,1.0,1.0,0.0,0.0,33064.5,2.260064477814542,-1.0,3.0,runs,0.0,under,hitter
adolis garcía,mlb_tex,401695453,2025-05-07,18:45,mlb_bos,mlb_tex,dabble_dfs_runs_value,0.5,runs,dabble,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,mlb_bos,mlb_tex,35,34,6,11,2,0,3,6,1,0,1,0,0,0,1,1,0,0,0.255,0.329,0.422,0.751,5,10,R,T.Mahle,50,9,8,4,3,0,3,5,2,1,4.01,40,144,91,1,0,0,0,35,2,0,0,0,1,1,0,5,CB Bucknor,"T.Houck (5-42), J.Wilson (3), B.Bernardino (0-W), G.Weissert (3-H), A.Chapman (6-Sv)",40,35,4,8,2,0,2,4,3,0,5,1,0,1,1,0,0,0,0.234,0.289,0.365,0.654,9,10,R,T.Houck,42,8,11,6,6,0,1,1,3,0,3.46,35,138,92,3,2,0,0,34,2,0,0,0,0,1,1,5,CB Bucknor,"T.Mahle (5-50), H.Milner (2-BSv), J.Webb (2-L), R.Garcia (0), C.Boushley (4)",dabble,0.5,2.31,2.64,0.33,-1.0,-1.0,0.0,3.0699999999999994,0.0,14.28571428571428,0.0,3.32,2.15,-1.0,-1.0,0.1702274071055249,0.0,21.0,35.0,0.0,0.0,4661.267857142857,2.7683043064999637,-1.0,57.0,runs,1.0,over,hitter
adolis garcía,mlb_tex,401695491,2025-05-10,18:10,mlb_det,mlb_tex,dabble_dfs_runs_value,0.5,runs,dabble,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_det,mlb_tex,34,31,3,7,0,1,2,3,3,0,13,0,0,0,0,3,0,0,0.258,0.333,0.42,0.753,4,11,R,J.deGrom,58,9,10,10,10,0,6,9,5,0,3.08,43,180,106,3,1,1,0,36,1,0,0,0,1,0,0,5,Andy Fletcher,"J.Flaherty (6-33-L), S.Guenther (1), C.Lee (1), T.Holton (7), J.Brebbia (21)",43,36,10,10,1,0,5,10,6,0,9,0,0,1,0,0,1,0,0.23,0.289,0.364,0.653,6,11,R,J.Flaherty,33,9,7,3,3,0,3,13,2,0,3.47,34,148,98,2,0,0,0,31,0,1,0,0,0,0,3,4,Andy Fletcher,"J.deGrom (5-58-W), H.Milner (2), S.Armstrong (3), L.Jackson (5)",dabble,0.5,2.64,2.07,-0.5700000000000003,-1.0,1.94,2.94,0.5700000000000003,2.94,-21.590909090909104,-294.0,2.64,2.07,1.94,-1.0,0.2192031021678294,2.07889393668845,0.0,2.0,1.0,0.0,88634.0,2.1730969445492265,-0.1804375707280272,3.0,runs,0.0,under,hitter
adolis garcía,mlb_tex,401695438,2025-05-06,18:45,mlb_bos,mlb_tex,dabble_dfs_stolenbases_value,0.5,stolenbases,dabble,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,mlb_bos,mlb_tex,33,32,1,6,2,0,0,1,1,0,12,0,0,0,0,0,0,0,0.253,0.329,0.416,0.745,5,9,R,N.Eovaldi,64,9,16,6,6,0,2,9,0,0,4.04,43,180,115,2,0,0,0,40,2,0,0,0,1,0,0,3,John Bacon,"L.Giolito (5-18-L), B.Bernardino (2), S.Newcomb (8)",43,40,6,16,2,0,0,5,2,0,9,0,0,1,0,0,0,0,0.234,0.289,0.362,0.651,10,10,R,L.Giolito,18,9,6,1,1,0,1,12,0,0,3.37,33,124,89,0,0,0,0,32,2,0,0,0,0,0,0,4,John Bacon,"N.Eovaldi (5-64-W), S.Armstrong (4), R.Garcia (2), C.Martin (2)",dabble,0.5,11.98,10.96,-1.0199999999999996,-1.0,-1.0,0.0,1.0199999999999996,0.0,-8.514190317195325,0.0,11.98,10.96,-1.0,-1.0,0.5232590180780465,0.0,0.0,2.0,0.0,0.0,33240.0,11.54207815788388,-1.0,3.0,stolenbases,0.0,under,hitter
