player_name,team,game_id,game_date,game_time,home,away,line_col,line_value,prop,source,pitching_stats_gcar,pitching_stats_win,pitching_stats_loss,pitching_stats_save,pitching_stats_hold,pitching_stats_blown_save,pitching_stats_dr,pitching_stats_ip,pitching_stats_h,pitching_stats_r,pitching_stats_er,pitching_stats_bb,pitching_stats_so,pitching_stats_hr,pitching_stats_hbp,pitching_stats_era,pitching_stats_fip,pitching_stats_bf,pitching_stats_pit,pitching_stats_str,pitching_stats_stl,pitching_stats_sts,pitching_stats_gb,pitching_stats_fb,pitching_stats_ld,pitching_stats_pu,pitching_stats_unk,pitching_stats_gsc,pitching_stats_ir,pitching_stats_is,pitching_stats_sb,pitching_stats_cs,pitching_stats_pickoffs,pitching_stats_ab,pitching_stats_2b,pitching_stats_3b,pitching_stats_ibb,pitching_stats_gdp,pitching_stats_sf,pitching_stats_roe,pitching_stats_ali,pitching_stats_wpa,pitching_stats_acli,pitching_stats_cwpa,pitching_stats_re24,gtm,entered,innings,home_team,away_team,home_stats.batting_stats.gtm,home_stats.batting_stats.pa,home_stats.batting_stats.ab,home_stats.batting_stats.r,home_stats.batting_stats.h,home_stats.batting_stats.2b,home_stats.batting_stats.3b,home_stats.batting_stats.hr,home_stats.batting_stats.rbi,home_stats.batting_stats.bb,home_stats.batting_stats.ibb,home_stats.batting_stats.so,home_stats.batting_stats.hbp,home_stats.batting_stats.sh,home_stats.batting_stats.sf,home_stats.batting_stats.roe,home_stats.batting_stats.gidp,home_stats.batting_stats.sb,home_stats.batting_stats.cs,home_stats.batting_stats.avg,home_stats.batting_stats.obp,home_stats.batting_stats.slug,home_stats.batting_stats.ops,home_stats.batting_stats.lob,home_stats.batting_stats.bat_num,home_stats.batting_stats.opp_thr,home_stats.batting_stats.opp_st,home_stats.batting_stats.opp_st_sc,home_stats.pitching_stats.gtm,home_stats.pitching_stats.ip,home_stats.pitching_stats.h,home_stats.pitching_stats.r,home_stats.pitching_stats.er,home_stats.pitching_stats.uer,home_stats.pitching_stats.bb,home_stats.pitching_stats.so,home_stats.pitching_stats.hr,home_stats.pitching_stats.hbp,home_stats.pitching_stats.era,home_stats.pitching_stats.bf,home_stats.pitching_stats.p,home_stats.pitching_stats.s,home_stats.pitching_stats.ir,home_stats.pitching_stats.is,home_stats.pitching_stats.sb,home_stats.pitching_stats.cs,home_stats.pitching_stats.ab,home_stats.pitching_stats.2b,home_stats.pitching_stats.3b,home_stats.pitching_stats.ibb,home_stats.pitching_stats.sh,home_stats.pitching_stats.sf,home_stats.pitching_stats.roe,home_stats.pitching_stats.gidp,home_stats.pitching_stats.pitch_num,home_stats.pitching_stats.ump,home_stats.pitching_stats.pitchers,away_stats.batting_stats.gtm,away_stats.batting_stats.pa,away_stats.batting_stats.ab,away_stats.batting_stats.r,away_stats.batting_stats.h,away_stats.batting_stats.2b,away_stats.batting_stats.3b,away_stats.batting_stats.hr,away_stats.batting_stats.rbi,away_stats.batting_stats.bb,away_stats.batting_stats.ibb,away_stats.batting_stats.so,away_stats.batting_stats.hbp,away_stats.batting_stats.sh,away_stats.batting_stats.sf,away_stats.batting_stats.roe,away_stats.batting_stats.gidp,away_stats.batting_stats.sb,away_stats.batting_stats.cs,away_stats.batting_stats.avg,away_stats.batting_stats.obp,away_stats.batting_stats.slug,away_stats.batting_stats.ops,away_stats.batting_stats.lob,away_stats.batting_stats.bat_num,away_stats.batting_stats.opp_thr,away_stats.batting_stats.opp_st,away_stats.batting_stats.opp_st_sc,away_stats.pitching_stats.gtm,away_stats.pitching_stats.ip,away_stats.pitching_stats.h,away_stats.pitching_stats.r,away_stats.pitching_stats.er,away_stats.pitching_stats.uer,away_stats.pitching_stats.bb,away_stats.pitching_stats.so,away_stats.pitching_stats.hr,away_stats.pitching_stats.hbp,away_stats.pitching_stats.era,away_stats.pitching_stats.bf,away_stats.pitching_stats.p,away_stats.pitching_stats.s,away_stats.pitching_stats.ir,away_stats.pitching_stats.is,away_stats.pitching_stats.sb,away_stats.pitching_stats.cs,away_stats.pitching_stats.ab,away_stats.pitching_stats.2b,away_stats.pitching_stats.3b,away_stats.pitching_stats.ibb,away_stats.pitching_stats.sh,away_stats.pitching_stats.sf,away_stats.pitching_stats.roe,away_stats.pitching_stats.gidp,away_stats.pitching_stats.pitch_num,away_stats.pitching_stats.ump,away_stats.pitching_stats.pitchers,book,line_value_book,open_om,close_om,delta_om,open_um,close_um,delta_um,total_move_om,total_move_um,pct_change_om,pct_change_um,max_om,min_om,max_um,min_um,std_om,std_um,ups_om,downs_om,ups_um,downs_um,avg_update_sec,twavg_om,twavg_um,n_updates,prop_norm,actual,outcome,player_type
shane baz,mlb_tbr,401695451,2025-05-07,19:05,mlb_tbr,mlb_phi,dabble_dfs_pitcherstrikeouts_value,5.5,pitcherstrikeouts,dabble,30.0,False,True,False,False,False,5.0,3.1,8.0,6.0,6.0,2.0,3.0,1.0,0.0,4.93,3.97,21.0,83.0,59.0,11.0,7.0,10.0,6.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.97,-0.304,0.71,0.0,-4.74,36.0,4.0,6.0,mlb_tbr,mlb_phi,36,32,29,0,2,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0.239,0.307,0.361,0.667,5,9,L,C.Sánchez,72,36,9,11,7,7,0,2,9,1,0,3.78,42,170,118,1,0,1,0,39,1,0,0,1,0,1,0,6,Will Little,"S.Baz (5-21-L), C.Sulser (0), M.Rodríguez (2), E.Uceta (2), G.Cleavinger (3), P.Fairbanks (2)",36,42,39,7,11,1,0,1,7,2,0,9,0,1,0,1,0,1,0,0.259,0.339,0.405,0.743,8,13,R,S.Baz,21,36,9,2,0,0,0,3,12,0,0,3.85,32,130,77,0,0,0,0,29,0,0,0,0,0,0,0,2,Will Little,"C.Sánchez (6-72-W), T.Walker (5-Sv)",dabble,5.5,1.99,2.1,0.1100000000000001,2.02,1.92,-0.1,0.1100000000000001,0.1,5.527638190954787,-4.950495049504955,2.1,1.99,2.02,1.92,0.0461880215351699,0.0493288286231623,3.0,0.0,0.0,2.0,1049.0,2.078874781369437,1.9391611064325969,4.0,pitcherstrikeouts,3.0,under,pitcher
shane baz,mlb_tbr,401695451,2025-05-07,19:05,mlb_tbr,mlb_phi,dabble_dfs_pitchingouts_value,17.5,pitchingouts,dabble,30.0,False,True,False,False,False,5.0,3.1,8.0,6.0,6.0,2.0,3.0,1.0,0.0,4.93,3.97,21.0,83.0,59.0,11.0,7.0,10.0,6.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.97,-0.304,0.71,0.0,-4.74,36.0,4.0,6.0,mlb_tbr,mlb_phi,36,32,29,0,2,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0.239,0.307,0.361,0.667,5,9,L,C.Sánchez,72,36,9,11,7,7,0,2,9,1,0,3.78,42,170,118,1,0,1,0,39,1,0,0,1,0,1,0,6,Will Little,"S.Baz (5-21-L), C.Sulser (0), M.Rodríguez (2), E.Uceta (2), G.Cleavinger (3), P.Fairbanks (2)",36,42,39,7,11,1,0,1,7,2,0,9,0,1,0,1,0,1,0,0.259,0.339,0.405,0.743,8,13,R,S.Baz,21,36,9,2,0,0,0,3,12,0,0,3.85,32,130,77,0,0,0,0,29,0,0,0,0,0,0,0,2,Will Little,"C.Sánchez (6-72-W), T.Walker (5-Sv)",dabble,17.5,2.12,2.0,-0.1200000000000001,1.9,2.01,0.1099999999999998,0.1400000000000001,0.1499999999999999,-5.660377358490576,5.789473684210522,2.12,1.99,2.03,1.9,0.062449979983984,0.0737111479583198,1.0,2.0,2.0,1.0,1049.0,2.022609315281467,1.9888747813694367,4.0,pitchingouts,10,under,pitcher
shane baz,mlb_tbr,401695451,2025-05-07,19:05,mlb_tbr,mlb_phi,dabble_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,dabble,30.0,False,True,False,False,False,5.0,3.1,8.0,6.0,6.0,2.0,3.0,1.0,0.0,4.93,3.97,21.0,83.0,59.0,11.0,7.0,10.0,6.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.97,-0.304,0.71,0.0,-4.74,36.0,4.0,6.0,mlb_tbr,mlb_phi,36,32,29,0,2,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0.239,0.307,0.361,0.667,5,9,L,C.Sánchez,72,36,9,11,7,7,0,2,9,1,0,3.78,42,170,118,1,0,1,0,39,1,0,0,1,0,1,0,6,Will Little,"S.Baz (5-21-L), C.Sulser (0), M.Rodríguez (2), E.Uceta (2), G.Cleavinger (3), P.Fairbanks (2)",36,42,39,7,11,1,0,1,7,2,0,9,0,1,0,1,0,1,0,0.259,0.339,0.405,0.743,8,13,R,S.Baz,21,36,9,2,0,0,0,3,12,0,0,3.85,32,130,77,0,0,0,0,29,0,0,0,0,0,0,0,2,Will Little,"C.Sánchez (6-72-W), T.Walker (5-Sv)",dabble,2.5,2.11,2.1,-0.0099999999999997,1.91,1.91,0.0,0.0099999999999997,0.0,-0.4739336492890933,0.0,2.11,2.1,1.91,1.91,,,0.0,1.0,0.0,0.0,856.0,2.100621481819565,1.91,2.0,earnedrunsallowed,6.0,over,pitcher
dylan cease,mlb_sdp,401695452,2025-05-07,19:05,mlb_nyy,mlb_sdp,dabble_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,dabble,164.0,False,False,False,False,False,4.0,6.2,1.0,1.0,1.0,2.0,9.0,1.0,0.0,4.91,3.36,24.0,86.0,57.0,12.0,18.0,6.0,6.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.218,1.26,0.0,2.36,36.0,7.0,3.0,mlb_nyy,mlb_sdp,37,36,30,4,3,0,0,2,4,3,0,10,0,1,1,0,0,0,0,0.258,0.342,0.465,0.807,4,12,R,D.Cease,75,37,10,6,3,3,0,3,11,1,1,3.59,41,156,98,2,2,1,0,36,0,0,0,0,1,1,0,4,Ramon De Jesus,"M.Fried (4-71), I.Hamilton (3), L.Weaver (1), D.Williams (1-W)",36,41,36,3,6,0,0,1,3,3,0,11,1,0,1,1,0,1,0,0.256,0.324,0.382,0.707,9,12,L,M.Fried,71,36,9,3,4,3,0,3,10,2,0,3.0,36,128,85,0,0,0,0,30,0,0,0,1,1,0,0,4,Ramon De Jesus,"D.Cease (4-75), J.Adam (2), R.Suarez (1), J.Estrada (1-L)",dabble,2.5,1.99,1.95,-0.04,2.02,2.06,0.04,0.1400000000000001,0.1200000000000001,-2.010050251256279,1.980198019801982,1.99,1.91,2.1,2.02,0.0372379734500505,0.0377712412645741,4.0,2.0,1.0,2.0,1727.0,1.9439975142277752,2.069570877215935,7.0,earnedrunsallowed,1.0,under,pitcher
dylan cease,mlb_sdp,401695452,2025-05-07,19:05,mlb_nyy,mlb_sdp,dabble_dfs_hitsallowed_value,4.5,hitsallowed,dabble,164.0,False,False,False,False,False,4.0,6.2,1.0,1.0,1.0,2.0,9.0,1.0,0.0,4.91,3.36,24.0,86.0,57.0,12.0,18.0,6.0,6.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.218,1.26,0.0,2.36,36.0,7.0,3.0,mlb_nyy,mlb_sdp,37,36,30,4,3,0,0,2,4,3,0,10,0,1,1,0,0,0,0,0.258,0.342,0.465,0.807,4,12,R,D.Cease,75,37,10,6,3,3,0,3,11,1,1,3.59,41,156,98,2,2,1,0,36,0,0,0,0,1,1,0,4,Ramon De Jesus,"M.Fried (4-71), I.Hamilton (3), L.Weaver (1), D.Williams (1-W)",36,41,36,3,6,0,0,1,3,3,0,11,1,0,1,1,0,1,0,0.256,0.324,0.382,0.707,9,12,L,M.Fried,71,36,9,3,4,3,0,3,10,2,0,3.0,36,128,85,0,0,0,0,30,0,0,0,1,1,0,0,4,Ramon De Jesus,"D.Cease (4-75), J.Adam (2), R.Suarez (1), J.Estrada (1-L)",dabble,4.5,2.05,1.97,-0.0799999999999998,1.96,2.04,0.08,0.1799999999999999,0.1799999999999997,-3.902439024390236,4.081632653061229,2.05,1.94,2.07,1.96,0.045617456975947,0.0452506248312555,3.0,3.0,3.0,3.0,1480.2857142857142,1.9673143604841348,2.04334510958456,8.0,hitsallowed,1.0,under,pitcher
dylan cease,mlb_sdp,401695452,2025-05-07,19:05,mlb_nyy,mlb_sdp,dabble_dfs_pitchingouts_value,15.5,pitchingouts,dabble,164.0,False,False,False,False,False,4.0,6.2,1.0,1.0,1.0,2.0,9.0,1.0,0.0,4.91,3.36,24.0,86.0,57.0,12.0,18.0,6.0,6.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.218,1.26,0.0,2.36,36.0,7.0,3.0,mlb_nyy,mlb_sdp,37,36,30,4,3,0,0,2,4,3,0,10,0,1,1,0,0,0,0,0.258,0.342,0.465,0.807,4,12,R,D.Cease,75,37,10,6,3,3,0,3,11,1,1,3.59,41,156,98,2,2,1,0,36,0,0,0,0,1,1,0,4,Ramon De Jesus,"M.Fried (4-71), I.Hamilton (3), L.Weaver (1), D.Williams (1-W)",36,41,36,3,6,0,0,1,3,3,0,11,1,0,1,1,0,1,0,0.256,0.324,0.382,0.707,9,12,L,M.Fried,71,36,9,3,4,3,0,3,10,2,0,3.0,36,128,85,0,0,0,0,30,0,0,0,1,1,0,0,4,Ramon De Jesus,"D.Cease (4-75), J.Adam (2), R.Suarez (1), J.Estrada (1-L)",dabble,15.5,2.09,2.08,-0.0099999999999997,1.92,1.93,0.01,0.0699999999999994,0.05,-0.4784688995215225,0.5208333333333259,2.11,2.08,1.93,1.91,0.0106904496764968,0.0106904496764969,3.0,4.0,2.0,2.0,1941.142857142857,2.0956416619398754,1.921805161656268,8.0,pitchingouts,20,over,pitcher
dylan cease,mlb_sdp,401695452,2025-05-07,19:05,mlb_nyy,mlb_sdp,dabble_dfs_walksallowed_value,2.5,walksallowed,dabble,164.0,False,False,False,False,False,4.0,6.2,1.0,1.0,1.0,2.0,9.0,1.0,0.0,4.91,3.36,24.0,86.0,57.0,12.0,18.0,6.0,6.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.218,1.26,0.0,2.36,36.0,7.0,3.0,mlb_nyy,mlb_sdp,37,36,30,4,3,0,0,2,4,3,0,10,0,1,1,0,0,0,0,0.258,0.342,0.465,0.807,4,12,R,D.Cease,75,37,10,6,3,3,0,3,11,1,1,3.59,41,156,98,2,2,1,0,36,0,0,0,0,1,1,0,4,Ramon De Jesus,"M.Fried (4-71), I.Hamilton (3), L.Weaver (1), D.Williams (1-W)",36,41,36,3,6,0,0,1,3,3,0,11,1,0,1,1,0,1,0,0.256,0.324,0.382,0.707,9,12,L,M.Fried,71,36,9,3,4,3,0,3,10,2,0,3.0,36,128,85,0,0,0,0,30,0,0,0,1,1,0,0,4,Ramon De Jesus,"D.Cease (4-75), J.Adam (2), R.Suarez (1), J.Estrada (1-L)",dabble,2.5,2.12,2.12,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,2.12,2.12,1.9,1.9,,,0.0,0.0,0.0,0.0,,2.12,1.9,1.0,walksallowed,2.0,under,pitcher
erick fedde,mlb_stl,401695475,2025-05-09,18:45,mlb_wsn,mlb_stl,dabble_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,dabble,141.0,True,False,False,False,False,4.0,9.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,3.86,4.12,31.0,109.0,68.0,20.0,8.0,12.0,11.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.49,0.227,0.44,0.0,4.37,39.0,0.0,0.0,mlb_wsn,mlb_stl,39,31,31,0,6,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0.241,0.311,0.382,0.694,4,9,R,E.Fedde,83,39,9,11,10,9,0,8,9,0,1,5.47,47,206,121,3,0,0,0,35,4,0,0,0,3,0,0,4,Mike Estabrook,"M.Parker (6-35-L), J.Rutledge (2), L.Sims (2), A.Chafin (1)",39,47,35,10,11,4,0,0,8,8,0,9,1,0,3,0,0,0,0,0.262,0.337,0.402,0.739,10,11,L,M.Parker,35,39,9,6,0,0,0,0,8,0,0,3.97,31,109,68,0,0,0,0,31,1,0,0,0,0,0,2,1,Mike Estabrook,E.Fedde (4-83-W),dabble,2.5,1.95,1.96,0.01,2.07,2.05,-0.02,0.1100000000000001,0.1,0.512820512820511,-0.9661835748792312,2.0,1.94,2.07,2.01,0.0268328157299975,0.0270185121722126,3.0,2.0,1.0,3.0,6165.4,1.962797273586179,2.051703558734872,6.0,earnedrunsallowed,0.0,under,pitcher
erick fedde,mlb_stl,401695475,2025-05-09,18:45,mlb_wsn,mlb_stl,dabble_dfs_pitcherstrikeouts_value,4.5,pitcherstrikeouts,dabble,141.0,True,False,False,False,False,4.0,9.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,3.86,4.12,31.0,109.0,68.0,20.0,8.0,12.0,11.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.49,0.227,0.44,0.0,4.37,39.0,0.0,0.0,mlb_wsn,mlb_stl,39,31,31,0,6,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0.241,0.311,0.382,0.694,4,9,R,E.Fedde,83,39,9,11,10,9,0,8,9,0,1,5.47,47,206,121,3,0,0,0,35,4,0,0,0,3,0,0,4,Mike Estabrook,"M.Parker (6-35-L), J.Rutledge (2), L.Sims (2), A.Chafin (1)",39,47,35,10,11,4,0,0,8,8,0,9,1,0,3,0,0,0,0,0.262,0.337,0.402,0.739,10,11,L,M.Parker,35,39,9,6,0,0,0,0,8,0,0,3.97,31,109,68,0,0,0,0,31,1,0,0,0,0,0,2,1,Mike Estabrook,E.Fedde (4-83-W),dabble,4.5,2.48,2.47,-0.0099999999999997,-1.0,-1.0,0.0,0.2299999999999995,0.0,-0.4032258064516014,0.0,2.51,2.4,-1.0,-1.0,0.0637965516309462,0.0,1.0,4.0,0.0,0.0,7950.6,2.4694312318510168,-1.0,6.0,pitcherstrikeouts,8.0,over,pitcher
erick fedde,mlb_stl,401695475,2025-05-09,18:45,mlb_wsn,mlb_stl,dabble_dfs_pitchingouts_value,16.5,pitchingouts,dabble,141.0,True,False,False,False,False,4.0,9.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,3.86,4.12,31.0,109.0,68.0,20.0,8.0,12.0,11.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.49,0.227,0.44,0.0,4.37,39.0,0.0,0.0,mlb_wsn,mlb_stl,39,31,31,0,6,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0.241,0.311,0.382,0.694,4,9,R,E.Fedde,83,39,9,11,10,9,0,8,9,0,1,5.47,47,206,121,3,0,0,0,35,4,0,0,0,3,0,0,4,Mike Estabrook,"M.Parker (6-35-L), J.Rutledge (2), L.Sims (2), A.Chafin (1)",39,47,35,10,11,4,0,0,8,8,0,9,1,0,3,0,0,0,0,0.262,0.337,0.402,0.739,10,11,L,M.Parker,35,39,9,6,0,0,0,0,8,0,0,3.97,31,109,68,0,0,0,0,31,1,0,0,0,0,0,2,1,Mike Estabrook,E.Fedde (4-83-W),dabble,16.5,2.02,1.97,-0.05,1.99,2.04,0.05,0.1300000000000001,0.1100000000000001,-2.475247524752477,2.5125628140703515,2.04,1.95,2.06,1.98,0.0406201920231797,0.039370039370059,3.0,2.0,1.0,3.0,6559.8,2.002693180301615,2.0093084211931136,6.0,pitchingouts,27,over,pitcher
