player_name,team,game_id,game_date,game_time,home,away,pitching_stats_gcar,pitching_stats_win,pitching_stats_loss,pitching_stats_save,pitching_stats_hold,pitching_stats_blown_save,pitching_stats_dr,pitching_stats_ip,pitching_stats_h,pitching_stats_r,pitching_stats_er,pitching_stats_bb,pitching_stats_so,pitching_stats_hr,pitching_stats_hbp,pitching_stats_era,pitching_stats_fip,pitching_stats_bf,pitching_stats_pit,pitching_stats_str,pitching_stats_stl,pitching_stats_sts,pitching_stats_gb,pitching_stats_fb,pitching_stats_ld,pitching_stats_pu,pitching_stats_unk,pitching_stats_gsc,pitching_stats_ir,pitching_stats_is,pitching_stats_sb,pitching_stats_cs,pitching_stats_pickoffs,pitching_stats_ab,pitching_stats_2b,pitching_stats_3b,pitching_stats_ibb,pitching_stats_gdp,pitching_stats_sf,pitching_stats_roe,pitching_stats_ali,pitching_stats_wpa,pitching_stats_acli,pitching_stats_cwpa,pitching_stats_re24,gtm,entered,innings,line_col,line_value,prop,source,home_team,away_team,home_stats.batting_stats.gtm,home_stats.batting_stats.pa,home_stats.batting_stats.ab,home_stats.batting_stats.r,home_stats.batting_stats.h,home_stats.batting_stats.2b,home_stats.batting_stats.3b,home_stats.batting_stats.hr,home_stats.batting_stats.rbi,home_stats.batting_stats.bb,home_stats.batting_stats.ibb,home_stats.batting_stats.so,home_stats.batting_stats.hbp,home_stats.batting_stats.sh,home_stats.batting_stats.sf,home_stats.batting_stats.roe,home_stats.batting_stats.gidp,home_stats.batting_stats.sb,home_stats.batting_stats.cs,home_stats.batting_stats.avg,home_stats.batting_stats.obp,home_stats.batting_stats.slug,home_stats.batting_stats.ops,home_stats.batting_stats.lob,home_stats.batting_stats.bat_num,home_stats.batting_stats.opp_thr,home_stats.batting_stats.opp_st,home_stats.batting_stats.opp_st_sc,home_stats.pitching_stats.gtm,home_stats.pitching_stats.ip,home_stats.pitching_stats.h,home_stats.pitching_stats.r,home_stats.pitching_stats.er,home_stats.pitching_stats.uer,home_stats.pitching_stats.bb,home_stats.pitching_stats.so,home_stats.pitching_stats.hr,home_stats.pitching_stats.hbp,home_stats.pitching_stats.era,home_stats.pitching_stats.bf,home_stats.pitching_stats.p,home_stats.pitching_stats.s,home_stats.pitching_stats.ir,home_stats.pitching_stats.is,home_stats.pitching_stats.sb,home_stats.pitching_stats.cs,home_stats.pitching_stats.ab,home_stats.pitching_stats.2b,home_stats.pitching_stats.3b,home_stats.pitching_stats.ibb,home_stats.pitching_stats.sh,home_stats.pitching_stats.sf,home_stats.pitching_stats.roe,home_stats.pitching_stats.gidp,home_stats.pitching_stats.pitch_num,home_stats.pitching_stats.ump,home_stats.pitching_stats.pitchers,away_stats.batting_stats.gtm,away_stats.batting_stats.pa,away_stats.batting_stats.ab,away_stats.batting_stats.r,away_stats.batting_stats.h,away_stats.batting_stats.2b,away_stats.batting_stats.3b,away_stats.batting_stats.hr,away_stats.batting_stats.rbi,away_stats.batting_stats.bb,away_stats.batting_stats.ibb,away_stats.batting_stats.so,away_stats.batting_stats.hbp,away_stats.batting_stats.sh,away_stats.batting_stats.sf,away_stats.batting_stats.roe,away_stats.batting_stats.gidp,away_stats.batting_stats.sb,away_stats.batting_stats.cs,away_stats.batting_stats.avg,away_stats.batting_stats.obp,away_stats.batting_stats.slug,away_stats.batting_stats.ops,away_stats.batting_stats.lob,away_stats.batting_stats.bat_num,away_stats.batting_stats.opp_thr,away_stats.batting_stats.opp_st,away_stats.batting_stats.opp_st_sc,away_stats.pitching_stats.gtm,away_stats.pitching_stats.ip,away_stats.pitching_stats.h,away_stats.pitching_stats.r,away_stats.pitching_stats.er,away_stats.pitching_stats.uer,away_stats.pitching_stats.bb,away_stats.pitching_stats.so,away_stats.pitching_stats.hr,away_stats.pitching_stats.hbp,away_stats.pitching_stats.era,away_stats.pitching_stats.bf,away_stats.pitching_stats.p,away_stats.pitching_stats.s,away_stats.pitching_stats.ir,away_stats.pitching_stats.is,away_stats.pitching_stats.sb,away_stats.pitching_stats.cs,away_stats.pitching_stats.ab,away_stats.pitching_stats.2b,away_stats.pitching_stats.3b,away_stats.pitching_stats.ibb,away_stats.pitching_stats.sh,away_stats.pitching_stats.sf,away_stats.pitching_stats.roe,away_stats.pitching_stats.gidp,away_stats.pitching_stats.pitch_num,away_stats.pitching_stats.ump,away_stats.pitching_stats.pitchers,book,line_value_book,open_om,close_om,delta_om,open_um,close_um,delta_um,total_move_om,total_move_um,pct_change_om,pct_change_um,max_om,min_om,max_um,min_um,std_om,std_um,ups_om,downs_om,ups_um,downs_um,avg_update_sec,twavg_om,twavg_um,n_updates,prop_norm,actual,outcome,player_type
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,sleeper_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,sleeper,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",sleeper,2.5,2.04,1.99,-0.05,1.58,1.61,0.03,0.0699999999999996,0.07,-2.450980392156865,1.8987341772152,2.05,1.99,1.61,1.57,0.0091612538131289,0.009161253813129,1.0,5.0,5.0,2.0,1889.875,2.0082898235436306,1.5986092982032072,9.0,earnedrunsallowed,1.0,under,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,sleeper_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,sleeper,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",sleeper,2.5,1.96,2.21,0.25,1.63,1.48,-0.1499999999999999,0.25,0.1499999999999999,12.755102040816336,-9.202453987730053,2.21,1.96,1.63,1.48,0.0134518541826909,0.0065465367070797,15.0,0.0,0.0,12.0,4119.933333333333,2.06672871147562,1.5596954892035626,16.0,earnedrunsallowed,3.0,over,pitcher
michael lorenzen,mlb_kcr,401695185,2025-04-17,18:40,mlb_det,mlb_kcr,372.0,False,True,False,False,False,4.0,4.2,7.0,4.0,4.0,3.0,3.0,0.0,0.0,4.57,3.66,24.0,102.0,63.0,16.0,7.0,6.0,12.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,-0.192,0.84,0.0,-2.05,20.0,5.0,5.0,sleeper_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,sleeper,mlb_det,mlb_kcr,19,41,36,6,12,2,0,0,6,5,0,6,0,0,0,0,0,2,0,0.243,0.322,0.393,0.716,11,10,R,M.Lorenzen,34,19,9,7,1,1,0,4,7,0,1,3.38,38,146,90,2,0,0,0,33,1,0,0,0,0,0,1,4,Paul Clemons,"R.Olson (5-62-W), T.Holton (1), B.Brieske (5), T.Kahnle (5-Sv)",20,38,33,1,7,1,0,0,1,4,0,7,1,0,0,0,1,0,0,0.207,0.277,0.304,0.581,10,10,R,R.Olson,62,20,8,12,6,6,0,5,6,0,0,3.49,41,168,101,4,0,2,0,36,2,0,0,0,0,0,0,4,Paul Clemons,"M.Lorenzen (4-34-L), E.Sisk (1), C.Stratton (5), S.Cruz (1)",sleeper,2.5,1.83,1.95,0.1199999999999998,1.73,1.64,-0.09,0.1799999999999999,0.1500000000000001,6.557377049180313,-5.202312138728327,1.95,1.83,1.73,1.64,0.0110480235123487,0.008744746321952,10.0,3.0,3.0,11.0,3443.823529411765,1.873353787628184,1.6991584518690042,18.0,earnedrunsallowed,4.0,over,pitcher
michael lorenzen,mlb_kcr,401695340,2025-04-29,19:05,mlb_tbr,mlb_kcr,374.0,True,False,False,False,False,4.0,6.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,3.48,4.1,24.0,88.0,60.0,15.0,6.0,8.0,10.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261,0.93,0.0,1.88,30.0,6.0,4.0,sleeper_dfs_earnedrunsallowed_value,2.5,earnedrunsallowed,sleeper,mlb_tbr,mlb_kcr,29,37,35,1,8,2,0,1,1,2,0,8,0,0,0,0,0,0,0,0.252,0.317,0.39,0.707,9,13,R,M.Lorenzen,62,29,9,8,3,3,0,3,4,0,0,3.44,36,137,90,0,0,2,0,32,1,0,0,0,1,0,1,3,Edwin Jimenez,"T.Bradley (5-58-L), M.Rodríguez (1), E.Orze (5)",30,36,32,3,8,1,0,0,3,3,0,4,0,0,1,0,1,2,0,0.226,0.289,0.325,0.614,6,9,R,T.Bradley,58,30,9,8,1,1,0,2,8,1,0,3.31,37,139,91,0,0,0,0,35,2,0,0,0,0,0,0,4,Edwin Jimenez,"M.Lorenzen (4-62-W), A.Zerpa (1-H), L.Erceg (3-H), C.Estévez (2-Sv)",sleeper,2.5,1.69,1.74,0.05,1.88,1.83,-0.0499999999999998,0.07,0.0899999999999998,2.9585798816567976,-2.659574468085102,1.74,1.69,1.88,1.83,0.0072648315725677,0.0088191710368819,6.0,1.0,2.0,7.0,10388.0,1.705645534572585,1.863514324664208,10.0,earnedrunsallowed,1.0,under,pitcher
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,sleeper_dfs_hitsallowed_value,4.5,hitsallowed,sleeper,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",sleeper,4.5,1.51,1.54,0.03,2.14,2.1,-0.04,0.1100000000000001,0.1799999999999997,1.9867549668874276,-1.869158878504673,1.55,1.51,2.15,2.07,0.0094112394811432,0.0148644670591441,7.0,3.0,5.0,8.0,1337.2666666666669,1.536049165558368,2.101939165129349,16.0,hitsallowed,5.0,over,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,sleeper_dfs_hitsallowed_value,4.5,hitsallowed,sleeper,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",sleeper,4.5,1.66,1.92,0.26,1.92,1.66,-0.26,0.5599999999999998,0.4999999999999993,15.662650602409634,-13.541666666666664,1.94,1.66,1.92,1.64,0.0195492886841706,0.0195492886841706,22.0,10.0,9.0,19.0,1868.2058823529408,1.800775225530173,1.7723326038698304,35.0,hitsallowed,7.0,over,pitcher
michael lorenzen,mlb_kcr,401695185,2025-04-17,18:40,mlb_det,mlb_kcr,372.0,False,True,False,False,False,4.0,4.2,7.0,4.0,4.0,3.0,3.0,0.0,0.0,4.57,3.66,24.0,102.0,63.0,16.0,7.0,6.0,12.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,-0.192,0.84,0.0,-2.05,20.0,5.0,5.0,sleeper_dfs_hitsallowed_value,4.5,hitsallowed,sleeper,mlb_det,mlb_kcr,19,41,36,6,12,2,0,0,6,5,0,6,0,0,0,0,0,2,0,0.243,0.322,0.393,0.716,11,10,R,M.Lorenzen,34,19,9,7,1,1,0,4,7,0,1,3.38,38,146,90,2,0,0,0,33,1,0,0,0,0,0,1,4,Paul Clemons,"R.Olson (5-62-W), T.Holton (1), B.Brieske (5), T.Kahnle (5-Sv)",20,38,33,1,7,1,0,0,1,4,0,7,1,0,0,0,1,0,0,0.207,0.277,0.304,0.581,10,10,R,R.Olson,62,20,8,12,6,6,0,5,6,0,0,3.49,41,168,101,4,0,2,0,36,2,0,0,0,0,0,0,4,Paul Clemons,"M.Lorenzen (4-34-L), E.Sisk (1), C.Stratton (5), S.Cruz (1)",sleeper,4.5,1.56,1.56,0.0,2.06,2.07,0.0099999999999997,0.0,0.0099999999999997,0.0,0.4854368932038833,1.56,1.56,2.07,2.06,,,0.0,0.0,1.0,0.0,8708.0,1.56,2.0615238002150327,2.0,hitsallowed,7.0,over,pitcher
michael lorenzen,mlb_kcr,401695340,2025-04-29,19:05,mlb_tbr,mlb_kcr,374.0,True,False,False,False,False,4.0,6.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,3.48,4.1,24.0,88.0,60.0,15.0,6.0,8.0,10.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261,0.93,0.0,1.88,30.0,6.0,4.0,sleeper_dfs_hitsallowed_value,5.5,hitsallowed,sleeper,mlb_tbr,mlb_kcr,29,37,35,1,8,2,0,1,1,2,0,8,0,0,0,0,0,0,0,0.252,0.317,0.39,0.707,9,13,R,M.Lorenzen,62,29,9,8,3,3,0,3,4,0,0,3.44,36,137,90,0,0,2,0,32,1,0,0,0,1,0,1,3,Edwin Jimenez,"T.Bradley (5-58-L), M.Rodríguez (1), E.Orze (5)",30,36,32,3,8,1,0,0,3,3,0,4,0,0,1,0,1,2,0,0.226,0.289,0.325,0.614,6,9,R,T.Bradley,58,30,9,8,1,1,0,2,8,1,0,3.31,37,139,91,0,0,0,0,35,2,0,0,0,0,0,0,4,Edwin Jimenez,"M.Lorenzen (4-62-W), A.Zerpa (1-H), L.Erceg (3-H), C.Estévez (2-Sv)",sleeper,5.5,1.98,2.03,0.0499999999999998,1.62,1.58,-0.04,0.0899999999999998,0.08,2.525252525252508,-2.469135802469136,2.03,1.98,1.62,1.58,0.0088191710368819,0.0088191710368819,7.0,2.0,2.0,6.0,9695.222222222224,1.995972619814719,1.6062030063274424,10.0,hitsallowed,4.0,under,pitcher
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,sleeper_dfs_pitcherstrikeouts_value,4.5,pitcherstrikeouts,sleeper,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",sleeper,4.5,1.77,1.98,0.2099999999999999,1.79,1.62,-0.1699999999999999,0.4099999999999992,0.3500000000000001,11.864406779661008,-9.49720670391061,1.99,1.77,1.79,1.61,0.0309838667696593,0.0260036627456686,11.0,7.0,7.0,11.0,1221.0,1.842222874960459,1.7276569207826833,22.0,pitcherstrikeouts,3.0,under,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,sleeper_dfs_pitcherstrikeouts_value,3.5,pitcherstrikeouts,sleeper,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",sleeper,3.5,1.59,1.51,-0.08,2.03,2.14,0.1100000000000003,0.1800000000000001,0.2500000000000009,-5.031446540880502,5.418719211822687,1.59,1.51,2.14,2.03,0.0128051000868909,0.0165609391606379,3.0,9.0,11.0,4.0,372.05882352941177,1.5487870945479645,2.081425120772947,18.0,pitcherstrikeouts,4.0,over,pitcher
