player_name,team,game_id,game_date,game_time,home,away,pitching_stats_gcar,pitching_stats_win,pitching_stats_loss,pitching_stats_save,pitching_stats_hold,pitching_stats_blown_save,pitching_stats_dr,pitching_stats_ip,pitching_stats_h,pitching_stats_r,pitching_stats_er,pitching_stats_bb,pitching_stats_so,pitching_stats_hr,pitching_stats_hbp,pitching_stats_era,pitching_stats_fip,pitching_stats_bf,pitching_stats_pit,pitching_stats_str,pitching_stats_stl,pitching_stats_sts,pitching_stats_gb,pitching_stats_fb,pitching_stats_ld,pitching_stats_pu,pitching_stats_unk,pitching_stats_gsc,pitching_stats_ir,pitching_stats_is,pitching_stats_sb,pitching_stats_cs,pitching_stats_pickoffs,pitching_stats_ab,pitching_stats_2b,pitching_stats_3b,pitching_stats_ibb,pitching_stats_gdp,pitching_stats_sf,pitching_stats_roe,pitching_stats_ali,pitching_stats_wpa,pitching_stats_acli,pitching_stats_cwpa,pitching_stats_re24,gtm,entered,innings,line_col,line_value,prop,source,home_team,away_team,home_stats.batting_stats.gtm,home_stats.batting_stats.pa,home_stats.batting_stats.ab,home_stats.batting_stats.r,home_stats.batting_stats.h,home_stats.batting_stats.2b,home_stats.batting_stats.3b,home_stats.batting_stats.hr,home_stats.batting_stats.rbi,home_stats.batting_stats.bb,home_stats.batting_stats.ibb,home_stats.batting_stats.so,home_stats.batting_stats.hbp,home_stats.batting_stats.sh,home_stats.batting_stats.sf,home_stats.batting_stats.roe,home_stats.batting_stats.gidp,home_stats.batting_stats.sb,home_stats.batting_stats.cs,home_stats.batting_stats.avg,home_stats.batting_stats.obp,home_stats.batting_stats.slug,home_stats.batting_stats.ops,home_stats.batting_stats.lob,home_stats.batting_stats.bat_num,home_stats.batting_stats.opp_thr,home_stats.batting_stats.opp_st,home_stats.batting_stats.opp_st_sc,home_stats.pitching_stats.gtm,home_stats.pitching_stats.ip,home_stats.pitching_stats.h,home_stats.pitching_stats.r,home_stats.pitching_stats.er,home_stats.pitching_stats.uer,home_stats.pitching_stats.bb,home_stats.pitching_stats.so,home_stats.pitching_stats.hr,home_stats.pitching_stats.hbp,home_stats.pitching_stats.era,home_stats.pitching_stats.bf,home_stats.pitching_stats.p,home_stats.pitching_stats.s,home_stats.pitching_stats.ir,home_stats.pitching_stats.is,home_stats.pitching_stats.sb,home_stats.pitching_stats.cs,home_stats.pitching_stats.ab,home_stats.pitching_stats.2b,home_stats.pitching_stats.3b,home_stats.pitching_stats.ibb,home_stats.pitching_stats.sh,home_stats.pitching_stats.sf,home_stats.pitching_stats.roe,home_stats.pitching_stats.gidp,home_stats.pitching_stats.pitch_num,home_stats.pitching_stats.ump,home_stats.pitching_stats.pitchers,away_stats.batting_stats.gtm,away_stats.batting_stats.pa,away_stats.batting_stats.ab,away_stats.batting_stats.r,away_stats.batting_stats.h,away_stats.batting_stats.2b,away_stats.batting_stats.3b,away_stats.batting_stats.hr,away_stats.batting_stats.rbi,away_stats.batting_stats.bb,away_stats.batting_stats.ibb,away_stats.batting_stats.so,away_stats.batting_stats.hbp,away_stats.batting_stats.sh,away_stats.batting_stats.sf,away_stats.batting_stats.roe,away_stats.batting_stats.gidp,away_stats.batting_stats.sb,away_stats.batting_stats.cs,away_stats.batting_stats.avg,away_stats.batting_stats.obp,away_stats.batting_stats.slug,away_stats.batting_stats.ops,away_stats.batting_stats.lob,away_stats.batting_stats.bat_num,away_stats.batting_stats.opp_thr,away_stats.batting_stats.opp_st,away_stats.batting_stats.opp_st_sc,away_stats.pitching_stats.gtm,away_stats.pitching_stats.ip,away_stats.pitching_stats.h,away_stats.pitching_stats.r,away_stats.pitching_stats.er,away_stats.pitching_stats.uer,away_stats.pitching_stats.bb,away_stats.pitching_stats.so,away_stats.pitching_stats.hr,away_stats.pitching_stats.hbp,away_stats.pitching_stats.era,away_stats.pitching_stats.bf,away_stats.pitching_stats.p,away_stats.pitching_stats.s,away_stats.pitching_stats.ir,away_stats.pitching_stats.is,away_stats.pitching_stats.sb,away_stats.pitching_stats.cs,away_stats.pitching_stats.ab,away_stats.pitching_stats.2b,away_stats.pitching_stats.3b,away_stats.pitching_stats.ibb,away_stats.pitching_stats.sh,away_stats.pitching_stats.sf,away_stats.pitching_stats.roe,away_stats.pitching_stats.gidp,away_stats.pitching_stats.pitch_num,away_stats.pitching_stats.ump,away_stats.pitching_stats.pitchers,book,line_value_book,open_om,close_om,delta_om,open_um,close_um,delta_um,total_move_om,total_move_um,pct_change_om,pct_change_um,max_om,min_om,max_um,min_um,std_om,std_um,ups_om,downs_om,ups_um,downs_um,avg_update_sec,twavg_om,twavg_um,n_updates,prop_norm,actual,outcome,player_type
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,underdog_dfs_hitsallowed_value,5.5,hitsallowed,underdog,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",underdog,5.5,1.17,1.17,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,1.17,1.17,0.84,0.84,,,0.0,0.0,0.0,0.0,,1.17,0.84,1.0,hitsallowed,5.0,under,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,underdog_dfs_hitsallowed_value,4.5,hitsallowed,underdog,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",underdog,4.5,0.91,1.14,0.2299999999999998,1.08,0.85,-0.2300000000000001,0.4700000000000001,0.45,25.27472527472525,-21.2962962962963,1.14,0.91,1.08,0.85,0.1201041214946432,0.115289490703475,3.0,1.0,1.0,3.0,8378.25,1.0596856378180957,0.9339900042881012,5.0,hitsallowed,7.0,over,pitcher
michael lorenzen,mlb_kcr,401695185,2025-04-17,18:40,mlb_det,mlb_kcr,372.0,False,True,False,False,False,4.0,4.2,7.0,4.0,4.0,3.0,3.0,0.0,0.0,4.57,3.66,24.0,102.0,63.0,16.0,7.0,6.0,12.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,-0.192,0.84,0.0,-2.05,20.0,5.0,5.0,underdog_dfs_hitsallowed_value,5.5,hitsallowed,underdog,mlb_det,mlb_kcr,19,41,36,6,12,2,0,0,6,5,0,6,0,0,0,0,0,2,0,0.243,0.322,0.393,0.716,11,10,R,M.Lorenzen,34,19,9,7,1,1,0,4,7,0,1,3.38,38,146,90,2,0,0,0,33,1,0,0,0,0,0,1,4,Paul Clemons,"R.Olson (5-62-W), T.Holton (1), B.Brieske (5), T.Kahnle (5-Sv)",20,38,33,1,7,1,0,0,1,4,0,7,1,0,0,0,1,0,0,0.207,0.277,0.304,0.581,10,10,R,R.Olson,62,20,8,12,6,6,0,5,6,0,0,3.49,41,168,101,4,0,2,0,36,2,0,0,0,0,0,0,4,Paul Clemons,"M.Lorenzen (4-34-L), E.Sisk (1), C.Stratton (5), S.Cruz (1)",underdog,5.5,1.1,1.08,-0.02,0.89,0.91,0.02,0.1799999999999997,0.1600000000000001,-1.8181818181818188,2.2471910112359605,1.18,1.08,0.91,0.82,0.1272792206135783,0.1131370849898477,1.0,1.0,1.0,1.0,255319.5,1.115045251302223,0.8768914122401316,3.0,hitsallowed,7.0,over,pitcher
michael lorenzen,mlb_kcr,401695340,2025-04-29,19:05,mlb_tbr,mlb_kcr,374.0,True,False,False,False,False,4.0,6.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,3.48,4.1,24.0,88.0,60.0,15.0,6.0,8.0,10.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261,0.93,0.0,1.88,30.0,6.0,4.0,underdog_dfs_hitsallowed_value,5.5,hitsallowed,underdog,mlb_tbr,mlb_kcr,29,37,35,1,8,2,0,1,1,2,0,8,0,0,0,0,0,0,0,0.252,0.317,0.39,0.707,9,13,R,M.Lorenzen,62,29,9,8,3,3,0,3,4,0,0,3.44,36,137,90,0,0,2,0,32,1,0,0,0,1,0,1,3,Edwin Jimenez,"T.Bradley (5-58-L), M.Rodríguez (1), E.Orze (5)",30,36,32,3,8,1,0,0,3,3,0,4,0,0,1,0,1,2,0,0.226,0.289,0.325,0.614,6,9,R,T.Bradley,58,30,9,8,1,1,0,2,8,1,0,3.31,37,139,91,0,0,0,0,35,2,0,0,0,0,0,0,4,Edwin Jimenez,"M.Lorenzen (4-62-W), A.Zerpa (1-H), L.Erceg (3-H), C.Estévez (2-Sv)",underdog,5.5,1.11,1.11,0.0,0.87,0.87,0.0,0.04,0.02,0.0,0.0,1.11,1.09,0.88,0.87,0.0282842712474619,0.0141421356237309,1.0,1.0,1.0,1.0,35339.0,1.1063469029490285,0.8718265485254858,3.0,hitsallowed,4.0,under,pitcher
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,underdog_dfs_pitcherstrikeouts_value,4.5,pitcherstrikeouts,underdog,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",underdog,4.5,1.0,1.09,0.09,1.0,0.9,-0.0999999999999999,0.09,0.0999999999999999,9.000000000000007,-9.999999999999998,1.09,1.0,1.0,0.9,,,1.0,0.0,0.0,1.0,11465.0,1.0516473029045643,0.9426141078838176,2.0,pitcherstrikeouts,3.0,under,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,underdog_dfs_pitcherstrikeouts_value,4.5,pitcherstrikeouts,underdog,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",underdog,4.5,1.16,1.14,-0.02,0.85,0.86,0.01,0.1199999999999996,0.09,-1.7241379310344862,1.17647058823529,1.16,1.09,0.9,0.85,0.0288097205817757,0.0238746727726266,3.0,2.0,2.0,3.0,11098.0,1.1102723676888602,0.8859427591704142,6.0,pitcherstrikeouts,4.0,under,pitcher
michael lorenzen,mlb_kcr,401695185,2025-04-17,18:40,mlb_det,mlb_kcr,372.0,False,True,False,False,False,4.0,4.2,7.0,4.0,4.0,3.0,3.0,0.0,0.0,4.57,3.66,24.0,102.0,63.0,16.0,7.0,6.0,12.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.88,-0.192,0.84,0.0,-2.05,20.0,5.0,5.0,underdog_dfs_pitcherstrikeouts_value,5.5,pitcherstrikeouts,underdog,mlb_det,mlb_kcr,19,41,36,6,12,2,0,0,6,5,0,6,0,0,0,0,0,2,0,0.243,0.322,0.393,0.716,11,10,R,M.Lorenzen,34,19,9,7,1,1,0,4,7,0,1,3.38,38,146,90,2,0,0,0,33,1,0,0,0,0,0,1,4,Paul Clemons,"R.Olson (5-62-W), T.Holton (1), B.Brieske (5), T.Kahnle (5-Sv)",20,38,33,1,7,1,0,0,1,4,0,7,1,0,0,0,1,0,0,0.207,0.277,0.304,0.581,10,10,R,R.Olson,62,20,8,12,6,6,0,5,6,0,0,3.49,41,168,101,4,0,2,0,36,2,0,0,0,0,0,0,4,Paul Clemons,"M.Lorenzen (4-34-L), E.Sisk (1), C.Stratton (5), S.Cruz (1)",underdog,5.5,1.12,1.12,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0,1.12,1.12,0.89,0.89,,,0.0,0.0,0.0,0.0,,1.12,0.8900000000000001,1.0,pitcherstrikeouts,3.0,under,pitcher
michael lorenzen,mlb_kcr,401695340,2025-04-29,19:05,mlb_tbr,mlb_kcr,374.0,True,False,False,False,False,4.0,6.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,3.48,4.1,24.0,88.0,60.0,15.0,6.0,8.0,10.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261,0.93,0.0,1.88,30.0,6.0,4.0,underdog_dfs_pitcherstrikeouts_value,4.5,pitcherstrikeouts,underdog,mlb_tbr,mlb_kcr,29,37,35,1,8,2,0,1,1,2,0,8,0,0,0,0,0,0,0,0.252,0.317,0.39,0.707,9,13,R,M.Lorenzen,62,29,9,8,3,3,0,3,4,0,0,3.44,36,137,90,0,0,2,0,32,1,0,0,0,1,0,1,3,Edwin Jimenez,"T.Bradley (5-58-L), M.Rodríguez (1), E.Orze (5)",30,36,32,3,8,1,0,0,3,3,0,4,0,0,1,0,1,2,0,0.226,0.289,0.325,0.614,6,9,R,T.Bradley,58,30,9,8,1,1,0,2,8,1,0,3.31,37,139,91,0,0,0,0,35,2,0,0,0,0,0,0,4,Edwin Jimenez,"M.Lorenzen (4-62-W), A.Zerpa (1-H), L.Erceg (3-H), C.Estévez (2-Sv)",underdog,4.5,1.06,1.07,0.01,0.9,0.9,0.0,0.1100000000000001,0.08,0.9433962264151052,0.0,1.12,1.06,0.9,0.86,0.0461880215351701,0.0360555127546399,2.0,1.0,1.0,2.0,27450.33333333333,1.0650069804755058,0.8988187368464922,4.0,pitcherstrikeouts,4.0,under,pitcher
michael lorenzen,mlb_kcr,401695056,2025-04-07,19:40,mlb_kcr,mlb_min,370.0,True,False,False,False,False,5.0,6.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,3.18,3.24,23.0,89.0,56.0,14.0,9.0,7.0,13.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.99,0.229,0.99,0.0,2.02,10.0,6.0,4.0,underdog_dfs_pitchingouts_value,17.5,pitchingouts,underdog,mlb_kcr,mlb_min,10,36,32,4,9,3,0,1,4,4,0,8,0,0,0,0,0,0,1,0.239,0.307,0.36,0.667,8,9,R,S.Woods Richardson,39,10,9,7,2,2,0,2,5,0,1,3.15,36,150,90,0,0,0,0,33,3,0,0,0,0,0,0,4,Nic Lentz,"M.Lorenzen (5-61-W), H.Harvey (0-H), L.Erceg (0-H), C.Estévez (0-Sv)",10,36,33,2,7,3,0,0,2,2,0,5,1,0,0,0,0,0,0,0.199,0.267,0.314,0.581,7,10,R,M.Lorenzen,61,10,8,9,4,4,0,4,8,1,0,4.92,36,138,83,1,0,0,1,32,3,0,0,0,0,0,0,2,Nic Lentz,"S.Woods Richardson (5-39-L), S.Blewett (99)",underdog,17.5,0.89,1.0,0.1099999999999999,1.11,1.0,-0.1100000000000001,0.1099999999999999,0.1100000000000001,12.35955056179776,-9.90990990990992,1.0,0.89,1.11,1.0,,,1.0,0.0,0.0,1.0,11878.0,0.9513922618598688,1.0486077381401313,2.0,pitchingouts,18,over,pitcher
michael lorenzen,mlb_kcr,401695114,2025-04-12,18:10,mlb_cle,mlb_kcr,371.0,False,True,False,False,False,4.0,5.2,7.0,3.0,3.0,1.0,4.0,1.0,0.0,3.71,3.65,25.0,85.0,52.0,12.0,7.0,13.0,7.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.24,-0.116,1.35,0.0,-0.29,15.0,6.0,4.0,underdog_dfs_pitchingouts_value,16.5,pitchingouts,underdog,mlb_cle,mlb_kcr,14,37,32,6,9,1,0,1,5,4,0,7,0,0,1,0,0,0,0,0.226,0.315,0.386,0.701,7,10,R,M.Lorenzen,46,14,9,6,3,3,0,2,15,1,0,3.57,35,156,104,1,0,1,0,32,0,0,0,0,1,0,0,5,Ron Kulpa,"L.Ortiz (5-71-W), T.Herrin (0-H), P.Sewald (2-H), C.Smith (0-H), E.Clase (2)",15,35,32,3,6,0,0,1,3,2,0,15,0,0,1,0,0,1,0,0.216,0.284,0.312,0.596,5,10,R,L.Ortiz,71,15,8,9,6,6,0,4,7,1,0,3.28,37,140,79,1,0,0,0,32,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Lorenzen (4-46-L), A.Zerpa (3), S.Cruz (0), S.Long (2)",underdog,16.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,pitchingouts,17,over,pitcher
